id,created_at,full_text,positivity,sadness,joy,fear,disgust,anger,categories,concepts,entities
1399464288125952004,2021-05-31 16:34:21,OpenTable CEO Debby Soo discusses challenges many restaurants are facing as restrictions are being lifted and dining is coming back https://t.co/BEqt5s9OAz https://t.co/EyVq03AftT,0.187897,0.206193,0.271422,0.257446,0.1537,0.0316,"[{'score': 0.999414, 'label': '/food and drink/dining out', 'explanation': {'relevant_text': [{'text': 'dining'}]}}]","[{'text': 'Restaurant', 'relevance': 0.9044, 'dbpedia_resource': 'http://dbpedia.org/resource/Restaurant'}]","[{'type': 'Person', 'text': 'Debby Soo', 'sentiment': {'score': -0.624206, 'label': 'negative'}, 'relevance': 0.963296, 'emotion': {'sadness': 0.206193, 'joy': 0.271422, 'fear': 0.257446, 'disgust': 0.1537, 'anger': 0.0316}, 'count': 1, 'confidence': 0.778286}, {'type': 'Company', 'text': 'OpenTable', 'sentiment': {'score': -0.624206, 'label': 'negative'}, 'relevance': 0.724346, 'emotion': {'sadness': 0.206193, 'joy': 0.271422, 'fear': 0.257446, 'disgust': 0.1537, 'anger': 0.0316}, 'disambiguation': {'name': 'OpenTable', 'dbpedia_resource': 'http://dbpedia.org/resource/OpenTable'}, 'count': 1, 'confidence': 0.937167}]"
1399460455144361988,2021-05-31 16:19:07,"A rare iron mineral has been discovered in the teeth of a living organism for the first time — one that bears the pet name ""wandering meatloaf."" https://t.co/sG0A0dFHDK",0.5,0.228022,0.57528,0.086121,0.045598,0.097584,"[{'score': 0.954528, 'label': '/pets', 'explanation': {'relevant_text': [{'text': 'pet'}]}}]",[],[]
1399455929628860416,2021-05-31 16:01:08,A couple of aging sloths have just moved into a brand new retirement home at Folly Farm in Wales https://t.co/mYhNOzoKHW https://t.co/dl3wQHtvtu,0.5,0.165322,0.495315,0.185169,0.055994,0.091996,"[{'score': 0.996963, 'label': '/health and fitness/aging', 'explanation': {'relevant_text': [{'text': 'aging'}]}}, {'score': 0.989221, 'label': '/society/senior living', 'explanation': {'relevant_text': [{'text': 'retirement home'}]}}]",[],"[{'type': 'Facility', 'text': 'Folly Farm', 'sentiment': {'score': 0, 'label': 'neutral'}, 'relevance': 0.963296, 'emotion': {'sadness': 0.165322, 'joy': 0.495315, 'fear': 0.185169, 'disgust': 0.055994, 'anger': 0.091996}, 'count': 1, 'confidence': 0.805834}, {'type': 'Location', 'text': 'Wales', 'sentiment': {'score': 0, 'label': 'neutral'}, 'relevance': 0.499421, 'emotion': {'sadness': 0.165322, 'joy': 0.495315, 'fear': 0.185169, 'disgust': 0.055994, 'anger': 0.091996}, 'count': 1, 'confidence': 0.979214}]"
1399453062356480000,2021-05-31 15:49:45,The near total destruction of Greenwood Avenue during the Tulsa Race Massacre left Vernon AME Church badly damaged — but not gone.  It has come to occupy an even more central place in the spiritual and social life of the community of survivors. https://t.co/UpghvsBrbp,0.975196,0.50217,0.039577,0.205961,0.1887,0.406729,"[{'score': 0.660061, 'label': '/religion and spirituality', 'explanation': {'relevant_text': [{'text': 'spiritual'}]}}, {'score': 0.593862, 'label': '/travel/transports/sea travel', 'explanation': {'relevant_text': [{'text': 'survivors'}]}}, {'score': 0.58751, 'label': '/society/unrest and war', 'explanation': {'relevant_text': [{'text': 'even'}]}}, {'score': 0.563557, 'label': '/news', 'explanation': {'relevant_text': [{'text': 'even'}]}}, {'score': 0.563473, 'label': '/society/racism', 'explanation': {'relevant_text': [{'text': 'race'}]}}]","[{'text': 'Tulsa, Oklahoma', 'relevance': 0.939551, 'dbpedia_resource': 'http://dbpedia.org/resource/Tulsa,_Oklahoma'}, {'text': '1994 albums', 'relevance': 0.776239, 'dbpedia_resource': 'http://dbpedia.org/resource/1994_albums'}, {'text': 'African Methodist Episcopal Church', 'relevance': 0.70728, 'dbpedia_resource': 'http://dbpedia.org/resource/African_Methodist_Episcopal_Church'}, {'text': 'Blues', 'relevance': 0.6804, 'dbpedia_resource': 'http://dbpedia.org/resource/Blues'}]","[{'type': 'Facility', 'text': 'Vernon AME Church', 'sentiment': {'score': 0, 'label': 'neutral'}, 'relevance': 0.963296, 'emotion': {'sadness': 0.404663, 'joy': 0.006169, 'fear': 0.173238, 'disgust': 0.321478, 'anger': 0.442729}, 'count': 1, 'confidence': 0.131336}, {'type': 'Location', 'text': 'Tulsa', 'sentiment': {'score': 0, 'label': 'neutral'}, 'relevance': 0.58486, 'emotion': {'sadness': 0.404663, 'joy': 0.006169, 'fear': 0.173238, 'disgust': 0.321478, 'anger': 0.442729}, 'count': 1, 'confidence': 0.673319}]"
1399464288125952004,2021-05-31 16:34:21,OpenTable CEO Debby Soo discusses challenges many restaurants are facing as restrictions are being lifted and dining is coming back https://t.co/BEqt5s9OAz https://t.co/EyVq03AftT,0.187897,0.206193,0.271422,0.257446,0.1537,0.0316,"[{'score': 0.999414, 'label': '/food and drink/dining out', 'explanation': {'relevant_text': [{'text': 'dining'}]}}]","[{'text': 'Restaurant', 'relevance': 0.9044, 'dbpedia_resource': 'http://dbpedia.org/resource/Restaurant'}]","[{'type': 'Person', 'text': 'Debby Soo', 'sentiment': {'score': -0.624206, 'label': 'negative'}, 'relevance': 0.963296, 'emotion': {'sadness': 0.206193, 'joy': 0.271422, 'fear': 0.257446, 'disgust': 0.1537, 'anger': 0.0316}, 'count': 1, 'confidence': 0.778286}, {'type': 'Company', 'text': 'OpenTable', 'sentiment': {'score': -0.624206, 'label': 'negative'}, 'relevance': 0.724346, 'emotion': {'sadness': 0.206193, 'joy': 0.271422, 'fear': 0.257446, 'disgust': 0.1537, 'anger': 0.0316}, 'disambiguation': {'name': 'OpenTable', 'dbpedia_resource': 'http://dbpedia.org/resource/OpenTable'}, 'count': 1, 'confidence': 0.937167}]"
1399460455144361988,2021-05-31 16:19:07,"A rare iron mineral has been discovered in the teeth of a living organism for the first time — one that bears the pet name ""wandering meatloaf."" https://t.co/sG0A0dFHDK",0.5,0.22802199999999997,0.57528,0.086121,0.045598,0.097584,"[{'score': 0.954528, 'label': '/pets', 'explanation': {'relevant_text': [{'text': 'pet'}]}}]",[],[]
1399455929628860416,2021-05-31 16:01:08,A couple of aging sloths have just moved into a brand new retirement home at Folly Farm in Wales https://t.co/mYhNOzoKHW https://t.co/dl3wQHtvtu,0.5,0.165322,0.49531499999999995,0.185169,0.055994,0.09199600000000001,"[{'score': 0.996963, 'label': '/health and fitness/aging', 'explanation': {'relevant_text': [{'text': 'aging'}]}}, {'score': 0.989221, 'label': '/society/senior living', 'explanation': {'relevant_text': [{'text': 'retirement home'}]}}]",[],"[{'type': 'Facility', 'text': 'Folly Farm', 'sentiment': {'score': 0, 'label': 'neutral'}, 'relevance': 0.963296, 'emotion': {'sadness': 0.165322, 'joy': 0.495315, 'fear': 0.185169, 'disgust': 0.055994, 'anger': 0.091996}, 'count': 1, 'confidence': 0.805834}, {'type': 'Location', 'text': 'Wales', 'sentiment': {'score': 0, 'label': 'neutral'}, 'relevance': 0.499421, 'emotion': {'sadness': 0.165322, 'joy': 0.495315, 'fear': 0.185169, 'disgust': 0.055994, 'anger': 0.091996}, 'count': 1, 'confidence': 0.979214}]"
1399453062356480000,2021-05-31 15:49:45,The near total destruction of Greenwood Avenue during the Tulsa Race Massacre left Vernon AME Church badly damaged — but not gone.  It has come to occupy an even more central place in the spiritual and social life of the community of survivors. https://t.co/UpghvsBrbp,0.975196,0.50217,0.039577,0.205961,0.1887,0.406729,"[{'score': 0.660061, 'label': '/religion and spirituality', 'explanation': {'relevant_text': [{'text': 'spiritual'}]}}, {'score': 0.593862, 'label': '/travel/transports/sea travel', 'explanation': {'relevant_text': [{'text': 'survivors'}]}}, {'score': 0.58751, 'label': '/society/unrest and war', 'explanation': {'relevant_text': [{'text': 'even'}]}}, {'score': 0.563557, 'label': '/news', 'explanation': {'relevant_text': [{'text': 'even'}]}}, {'score': 0.563473, 'label': '/society/racism', 'explanation': {'relevant_text': [{'text': 'race'}]}}]","[{'text': 'Tulsa, Oklahoma', 'relevance': 0.939551, 'dbpedia_resource': 'http://dbpedia.org/resource/Tulsa,_Oklahoma'}, {'text': '1994 albums', 'relevance': 0.776239, 'dbpedia_resource': 'http://dbpedia.org/resource/1994_albums'}, {'text': 'African Methodist Episcopal Church', 'relevance': 0.70728, 'dbpedia_resource': 'http://dbpedia.org/resource/African_Methodist_Episcopal_Church'}, {'text': 'Blues', 'relevance': 0.6804, 'dbpedia_resource': 'http://dbpedia.org/resource/Blues'}]","[{'type': 'Facility', 'text': 'Vernon AME Church', 'sentiment': {'score': 0, 'label': 'neutral'}, 'relevance': 0.963296, 'emotion': {'sadness': 0.404663, 'joy': 0.006169, 'fear': 0.173238, 'disgust': 0.321478, 'anger': 0.442729}, 'count': 1, 'confidence': 0.131336}, {'type': 'Location', 'text': 'Tulsa', 'sentiment': {'score': 0, 'label': 'neutral'}, 'relevance': 0.58486, 'emotion': {'sadness': 0.404663, 'joy': 0.006169, 'fear': 0.173238, 'disgust': 0.321478, 'anger': 0.442729}, 'count': 1, 'confidence': 0.673319}]"
1399464288125952004,2021-05-31 16:34:21,OpenTable CEO Debby Soo discusses challenges many restaurants are facing as restrictions are being lifted and dining is coming back https://t.co/BEqt5s9OAz https://t.co/EyVq03AftT,0.18789699999999998,0.206193,0.271422,0.257446,0.1537,0.0316,"[{'score': 0.999414, 'label': '/food and drink/dining out', 'explanation': {'relevant_text': [{'text': 'dining'}]}}]","[{'text': 'Restaurant', 'relevance': 0.9044, 'dbpedia_resource': 'http://dbpedia.org/resource/Restaurant'}]","[{'type': 'Person', 'text': 'Debby Soo', 'sentiment': {'score': -0.624206, 'label': 'negative'}, 'relevance': 0.963296, 'emotion': {'sadness': 0.206193, 'joy': 0.271422, 'fear': 0.257446, 'disgust': 0.1537, 'anger': 0.0316}, 'count': 1, 'confidence': 0.778286}, {'type': 'Company', 'text': 'OpenTable', 'sentiment': {'score': -0.624206, 'label': 'negative'}, 'relevance': 0.724346, 'emotion': {'sadness': 0.206193, 'joy': 0.271422, 'fear': 0.257446, 'disgust': 0.1537, 'anger': 0.0316}, 'disambiguation': {'name': 'OpenTable', 'dbpedia_resource': 'http://dbpedia.org/resource/OpenTable'}, 'count': 1, 'confidence': 0.937167}]"
1399460455144361988,2021-05-31 16:19:07,"A rare iron mineral has been discovered in the teeth of a living organism for the first time — one that bears the pet name ""wandering meatloaf."" https://t.co/sG0A0dFHDK",0.5,0.228022,0.57528,0.086121,0.045598,0.097584,"[{'score': 0.954528, 'label': '/pets', 'explanation': {'relevant_text': [{'text': 'pet'}]}}]",[],[]
